movie_id,average_sentiment,neg_sentiment,neu_sentiment,pos_sentiment,genres,revenue,runtime,cluster
529276,-0.9967,0.153,0.783,0.065,"Action/Adventure, Natural horror films, Action, Horror, Thriller",51881013.0,91.0,3
20631892,-0.9919,0.153,0.774,0.072,Action,,,0
24577134,0.9619,0.048,0.772,0.18,"Romantic drama, Romance Film, Drama",,76.0,1
32556450,0.7579,0.078,0.768,0.154,Drama,,94.0,1
455089,-0.9461,0.084,0.866,0.05,"Cult, Comedy",,92.0,3
23266463,-0.4554,0.083,0.849,0.069,"Drama, Television movie",,86.0,3
35779717,0.5935,0.07,0.855,0.075,"Thriller, Short Film, Horror",,6.5,2
23299845,0.5423,0.028,0.926,0.047,"World cinema, Documentary",,99.0,2
226664,0.8411,0.107,0.782,0.111,"Indie, Comedy of manners, Comedy-drama, Drama, Comedy, Black comedy, Tragicomedy",105834556.0,120.0,1
25113407,-0.7783,0.178,0.785,0.037,"Sports, Drama",,100.0,0
27403920,0.9159,0.099,0.781,0.12,"Melodrama, Drama",,97.0,1
2524925,0.9382,0.084,0.82,0.096,"Adventure, Children's/Family, Animation, Children's, Music, Family Film, Family-Oriented Adventure",,71.0,1
657446,0.9929,0.099,0.748,0.152,"Slapstick, Fantasy Comedy, Fantasy, Comedy, Domestic Comedy",302710615.0,86.0,1
1591973,-0.9935,0.155,0.749,0.097,"Thriller, Horror, Psychological thriller, Black-and-white, Mystery, Crime Thriller, Psycho-biddy",7000000.0,133.0,0
12383757,0.0258,0.0,0.962,0.038,"Action/Adventure, Western, Action, B-Western, Black-and-white",,57.0,2
4355919,-0.7506,0.139,0.795,0.066,Drama,,93.0,3
32163620,-0.8126,0.093,0.879,0.028,"Mystery, Romance Film, Fantasy, Drama",,120.0,3
11685571,-0.9468,0.083,0.853,0.064,"Drama, Pre-Code, Black-and-white",,80.0,3
4039635,-0.965,0.073,0.9,0.027,"Science Fiction, Mockumentary",,75.0,3
17371197,-0.9678,0.175,0.785,0.04,"Thriller, Psychological thriller, Action/Adventure, Drama, Crime Thriller, Action",,,0
1282593,0.8261,0.079,0.833,0.088,"LGBT, Romantic comedy, Indie, Gay, Gay Interest, Coming of age, Comedy, Gay Themed, Drama, Romantic drama, Romance Film",1977544.0,94.0,2
7504323,-0.0359,0.067,0.886,0.047,"Short Film, Family Film, Comedy, Animation",,,2
7675415,-0.983,0.171,0.736,0.093,"Drama, World cinema, Black-and-white, War film",,110.0,0
3109393,-0.8481,0.213,0.66,0.127,"Japanese Movies, World cinema, Action/Adventure, Martial Arts Film, Action, Chinese Movies",,82.0,0
7580720,-0.9958,0.151,0.778,0.071,"Romance Film, Drama, Musical",,143.0,3
457561,-0.7758,0.126,0.775,0.1,"Christian film, Silent film, Biography, Indie, World cinema, Costume drama, Biopic [feature], Epic, Black-and-white, Drama, Hagiography, War film, Historical fiction, Political drama",,110.0,3
32137084,0.9711,0.086,0.759,0.155,"Action/Adventure, Thriller, Action, Drama, World cinema",,152.0,1
4072739,-0.8546,0.212,0.746,0.042,"Thriller, Mystery, Crime Fiction",,96.0,0
8034072,0.8633,0.079,0.807,0.113,"Musical, Drama, Bollywood, World cinema",,155.0,1
3470969,-0.9986,0.157,0.775,0.068,"Thriller, Science Fiction, World cinema, Supernatural, Fantasy, Action",38862712.0,139.0,0
4016437,-0.9965,0.195,0.72,0.086,"Romantic drama, Romance Film, Drama, Period piece",30036000.0,150.0,0
17060199,0.6969,0.104,0.783,0.113,"Romantic comedy, Indie, Comedy-drama, Short Film, Drama, Comedy, Romance Film",,104.0,1
7481126,0.7214,0.061,0.837,0.102,"Thriller, Mystery, Musical, Drama, Comedy, Romance Film",,150.0,2
9031450,0.9909,0.066,0.735,0.199,"Romance Film, Comedy",,98.0,1
1520023,-0.9998,0.144,0.789,0.066,"Horror, World cinema, Animation, Anime, Fantasy, Japanese Movies",,100.0,3
14582951,-0.9786,0.142,0.79,0.068,"Drama, Political drama, War film",,113.0,3
4803289,-0.995,0.108,0.857,0.035,"Thriller, Crime Fiction, Action, Action/Adventure",,101.0,3
1788654,-0.9994,0.215,0.733,0.052,"Thriller, Crime Fiction, Crime Comedy, Comedy-drama, Drama, Comedy, Black comedy, Neo-noir",,95.0,0
25388139,0.9754,0.076,0.733,0.19,Drama,,,1
21735071,-0.7096,0.15,0.744,0.106,Black comedy,,104.0,0
15912738,0.9496,0.069,0.814,0.117,"Thriller, Action/Adventure, Japanese Movies, Fantasy, World cinema",35227275.0,129.0,1
24589422,0.989,0.125,0.708,0.167,"Romantic drama, Romance Film, Drama, Indie",,103.0,1
